Health Workforce Data

"National Health Workforce Dataset"
"Professions, Year, ASGS 2021, Job Area and Summation Options by Workforce Status"
"Counting: Number of Practitioners, FTE Total"

Filters:
"Workforce Status","Employed in Australia working in  registered profession"


"Professions","Year","ASGS 2021","Job Area","Summation Options",
,,,,"FTE Total",9.8,
,,,"Non-clinician","Number of Practitioners",3,
,,"Joondalup","General practitioner (GP)","Number of Practitioners",209,
,,,,"FTE Total",190.9,
,,,"Hospital non-specialist","Number of Practitioners",128,
,,,,"FTE Total",149.3,
,,,"Specialist","Number of Practitioners",208,
,,,,"FTE Total",231.5,
,,,"Specialist-in-training","Number of Practitioners",109,
,,,,"FTE Total",117.2,
,,,"Other clinician","Number of Practitioners",17,
,,,,"FTE Total",15.5,
,,,"Non-clinician","FTE Total",3.0,
,,"Stirling","General practitioner (GP)","Number of Practitioners",168,
,,,,"FTE Total",144.2,
,,,"Hospital non-specialist","Number of Practitioners",15,
,,,,"FTE Total",17.6,
,,,"Specialist","Number of Practitioners",93,
,,,,"FTE Total",81.9,
,,,"Specialist-in-training","Number of Practitioners",20,
,,,,"FTE Total",21.0,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",8.2,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Wanneroo","General practitioner (GP)","Number of Practitioners",187,
,,,,"FTE Total",179.5,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",4.0,
,,,"Specialist","Number of Practitioners",10,
,,,,"FTE Total",7.7,
,,,"Specialist-in-training","Number of Practitioners",24,
,,,,"FTE Total",23.1,
,,,"Other clinician","FTE Total",3.0,
,,"Armadale","General practitioner (GP)","Number of Practitioners",76,
,,,,"FTE Total",79.7,
,,,"Hospital non-specialist","Number of Practitioners",54,
,,,,"FTE Total",59.0,
,,,"Specialist","Number of Practitioners",75,
,,,,"FTE Total",80.6,
,,,"Specialist-in-training","Number of Practitioners",23,
,,,,"FTE Total",23.5,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",5.8,
,,"Belmont - Victoria Park","General practitioner (GP)","Number of Practitioners",62,
,,,,"FTE Total",51.8,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","Number of Practitioners",9,
,,,,"FTE Total",9.9,
,,,"Specialist-in-training","Number of Practitioners",11,
,,,,"FTE Total",9.9,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",6.3,
,,"Canning","General practitioner (GP)","Number of Practitioners",155,
,,,,"FTE Total",139.4,
,,,"Hospital non-specialist","Number of Practitioners",12,
,,,,"FTE Total",13.5,
,,,"Specialist","Number of Practitioners",33,
,,,,"FTE Total",35.0,
,,,"Specialist-in-training","Number of Practitioners",21,
,,,,"FTE Total",19.8,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",4.0,
,,,"Non-clinician","FTE Total",3.0,
,,"Gosnells","General practitioner (GP)","Number of Practitioners",99,
,,,,"FTE Total",94.4,
,,,"Specialist","Number of Practitioners",5,
,,,,"FTE Total",5.1,
,,,"Specialist-in-training","Number of Practitioners",8,
,,,,"FTE Total",7.8,
,,"Kalamunda","General practitioner (GP)","Number of Practitioners",54,
,,,,"FTE Total",52.3,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","Number of Practitioners",4,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",9,
,,,,"FTE Total",7.3,
,,"Serpentine - Jarrahdale","General practitioner (GP)","Number of Practitioners",15,
,,,,"FTE Total",13.6,
,,,"Specialist","Number of Practitioners",3,
,,,"Specialist-in-training","Number of Practitioners",3,
,,"South Perth","General practitioner (GP)","Number of Practitioners",35,
,,,,"FTE Total",31.9,
,,,"Specialist","Number of Practitioners",25,
,,,,"FTE Total",26.0,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",3.0,
,,"Cockburn","General practitioner (GP)","Number of Practitioners",109,
,,,,"FTE Total",104.0,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",3.3,
,,,"Specialist","Number of Practitioners",24,
,,,,"FTE Total",22.6,
,,,"Specialist-in-training","Number of Practitioners",16,
,,,,"FTE Total",14.4,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",5.0,
,,"Fremantle","General practitioner (GP)","Number of Practitioners",98,
,,,,"FTE Total",79.1,
,,,"Hospital non-specialist","Number of Practitioners",40,
,,,,"FTE Total",44.2,
,,,"Specialist","Number of Practitioners",83,
,,,,"FTE Total",85.8,
,,,"Specialist-in-training","Number of Practitioners",35,
,,,,"FTE Total",35.2,
,,,"Non-clinician","Number of Practitioners",7,
,,,,"FTE Total",5.7,
,,"Kwinana","General practitioner (GP)","Number of Practitioners",31,
,,,,"FTE Total",31.7,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",5.3,
,,"Melville","General practitioner (GP)","Number of Practitioners",169,
,,,,"FTE Total",153.0,
,,,"Hospital non-specialist","Number of Practitioners",218,
,,,,"FTE Total",255.0,
,,,"Specialist","Number of Practitioners",563,
,,,,"FTE Total",630.8,
,,,"Specialist-in-training","Number of Practitioners",234,
,,,,"FTE Total",270.7,
,,,"Other clinician","Number of Practitioners",27,
,,,,"FTE Total",21.7,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Rockingham","General practitioner (GP)","Number of Practitioners",137,
,,,,"FTE Total",140.7,
,,,"Hospital non-specialist","Number of Practitioners",44,
,,,,"FTE Total",50.3,
,,,"Specialist","Number of Practitioners",88,
,,,,"FTE Total",94.0,
,,,"Specialist-in-training","Number of Practitioners",44,
,,,,"FTE Total",46.3,
,,,"Other clinician","Number of Practitioners",13,
,,,,"FTE Total",14.3,
,,"Albany","General practitioner (GP)","Number of Practitioners",81,
,,,,"FTE Total",80.0,
,,,"Hospital non-specialist","Number of Practitioners",15,
,,,,"FTE Total",17.1,
,,,"Specialist","Number of Practitioners",39,
,,,,"FTE Total",41.7,
,,,"Specialist-in-training","Number of Practitioners",27,
,,,,"FTE Total",29.1,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",4.6,
,,,"Non-clinician","Number of Practitioners",5,
,,,,"FTE Total",3.0,
,,"Wheat Belt - North","General practitioner (GP)","Number of Practitioners",57,
,,,,"FTE Total",55.9,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.7,
,,,"Specialist","Number of Practitioners",8,
,,,,"FTE Total",7.9,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",7.0,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Wheat Belt - South","General practitioner (GP)","Number of Practitioners",20,
,,,,"FTE Total",23.9,
,,,"Specialist","Number of Practitioners",5,
,,,,"FTE Total",6.9,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Non-clinician","Number of Practitioners",3,
,,"Kimberley","General practitioner (GP)","Number of Practitioners",81,
,,,,"FTE Total",89.4,
,,,"Hospital non-specialist","Number of Practitioners",18,
,,,,"FTE Total",20.0,
,,,"Specialist","Number of Practitioners",40,
,,,,"FTE Total",51.8,
,,,"Specialist-in-training","Number of Practitioners",29,
,,,,"FTE Total",31.2,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",6.7,
,,"East Pilbara","General practitioner (GP)","Number of Practitioners",35,
,,,,"FTE Total",39.6,
,,,"Hospital non-specialist","Number of Practitioners",8,
,,,,"FTE Total",9.5,
,,,"Specialist","Number of Practitioners",19,
,,,,"FTE Total",23.1,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",3.7,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",7.9,
,,"West Pilbara","General practitioner (GP)","Number of Practitioners",36,
,,,,"FTE Total",41.6,
,,,"Hospital non-specialist","Number of Practitioners",14,
,,,,"FTE Total",17.6,
,,,"Specialist","Number of Practitioners",7,
,,,,"FTE Total",8.9,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Esperance","General practitioner (GP)","Number of Practitioners",23,
,,,,"FTE Total",26.9,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","FTE Total",3.0,
,,"Gascoyne","General practitioner (GP)","Number of Practitioners",18,
,,,,"FTE Total",20.6,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",4.0,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",4.1,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Goldfields","General practitioner (GP)","Number of Practitioners",49,
,,,,"FTE Total",52.5,
,,,"Hospital non-specialist","Number of Practitioners",15,
,,,,"FTE Total",21.9,
,,,"Specialist","Number of Practitioners",19,
,,,,"FTE Total",21.8,
,,,"Specialist-in-training","Number of Practitioners",8,
,,,,"FTE Total",9.3,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",4.9,
,,"Mid West","General practitioner (GP)","Number of Practitioners",68,
,,,,"FTE Total",79.3,
,,,"Hospital non-specialist","Number of Practitioners",31,
,,,,"FTE Total",38.1,
,,,"Specialist","Number of Practitioners",33,
,,,,"FTE Total",37.7,
,,,"Specialist-in-training","Number of Practitioners",12,
,,,,"FTE Total",11.6,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",4.3,
,"2018","Augusta - Margaret River - Busselton","General practitioner (GP)","Number of Practitioners",80,
,,,,"FTE Total",67.0,
,,,"Hospital non-specialist","Number of Practitioners",15,
,,,,"FTE Total",17.4,
,,,"Specialist","Number of Practitioners",20,
,,,,"FTE Total",22.5,
,,,"Specialist-in-training","Number of Practitioners",11,
,,,,"FTE Total",10.0,
,,"Bunbury","General practitioner (GP)","Number of Practitioners",144,
,,,,"FTE Total",143.6,
,,,"Hospital non-specialist","Number of Practitioners",50,
,,,,"FTE Total",57.9,
,,,"Specialist","Number of Practitioners",109,
,,,,"FTE Total",120.1,
,,,"Specialist-in-training","Number of Practitioners",45,
,,,,"FTE Total",47.5,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",7.8,
,,"Manjimup","General practitioner (GP)","Number of Practitioners",22,
,,,,"FTE Total",26.7,
,,,"Specialist","FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Mandurah","General practitioner (GP)","Number of Practitioners",134,
,,,,"FTE Total",131.7,
,,,"Hospital non-specialist","Number of Practitioners",20,
,,,,"FTE Total",22.5,
,,,"Specialist","Number of Practitioners",50,
,,,,"FTE Total",53.1,
,,,"Specialist-in-training","Number of Practitioners",27,
,,,,"FTE Total",26.2,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",7.8,
,,"Cottesloe - Claremont","General practitioner (GP)","Number of Practitioners",162,
,,,,"FTE Total",137.7,
,,,"Hospital non-specialist","Number of Practitioners",227,
,,,,"FTE Total",273.7,
,,,"Specialist","Number of Practitioners",800,
,,,,"FTE Total",861.6,
,,,"Specialist-in-training","Number of Practitioners",367,
,,,,"FTE Total",435.7,
,,,"Other clinician","Number of Practitioners",52,
,,,,"FTE Total",44.7,
,,,"Non-clinician","Number of Practitioners",28,
,,,,"FTE Total",21.1,
,,"Perth City","General practitioner (GP)","Number of Practitioners",305,
,,,,"FTE Total",251.3,
,,,"Hospital non-specialist","Number of Practitioners",296,
,,,,"FTE Total",333.1,
,,,"Specialist","Number of Practitioners",959,
,,,,"FTE Total",1042.6,
,,,"Specialist-in-training","Number of Practitioners",313,
,,,,"FTE Total",361.9,
,,,"Other clinician","Number of Practitioners",83,
,,,,"FTE Total",72.7,
,,,"Non-clinician","Number of Practitioners",42,
,,,,"FTE Total",33.0,
,,"Bayswater - Bassendean","General practitioner (GP)","Number of Practitioners",76,
,,,,"FTE Total",67.0,
,,,"Specialist","Number of Practitioners",9,
,,,,"FTE Total",10.3,
,,,"Specialist-in-training","Number of Practitioners",7,
,,,,"FTE Total",5.7,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",3.0,
,,"Mundaring","General practitioner (GP)","Number of Practitioners",31,
,,,,"FTE Total",29.5,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Non-clinician","Number of Practitioners",3,
,,"Swan","General practitioner (GP)","Number of Practitioners",140,
,,,,"FTE Total",130.2,
,,,"Hospital non-specialist","Number of Practitioners",57,
,,,,"FTE Total",67.1,
,,,"Specialist","Number of Practitioners",124,
,,,,"FTE Total",124.2,
,,,"Specialist-in-training","Number of Practitioners",80,
,,,,"FTE Total",84.4,
,,,"Other clinician","Number of Practitioners",13,
,,,,"FTE Total",14.0,
,,,"Non-clinician","Number of Practitioners",3,
,,"Joondalup","General practitioner (GP)","Number of Practitioners",229,
,,,,"FTE Total",196.0,
,,,"Hospital non-specialist","Number of Practitioners",125,
,,,,"FTE Total",149.0,
,,,"Specialist","Number of Practitioners",206,
,,,,"FTE Total",224.3,
,,,"Specialist-in-training","Number of Practitioners",109,
,,,,"FTE Total",114.0,
,,,"Other clinician","Number of Practitioners",24,
,,,,"FTE Total",19.7,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.3,
,,"Stirling","General practitioner (GP)","Number of Practitioners",173,
,,,,"FTE Total",151.7,
,,,"Hospital non-specialist","Number of Practitioners",23,
,,,,"FTE Total",29.1,
,,,"Specialist","Number of Practitioners",88,
,,,,"FTE Total",79.6,
,,,"Specialist-in-training","Number of Practitioners",29,
,,,,"FTE Total",30.1,
,,,"Other clinician","Number of Practitioners",13,
,,,,"FTE Total",9.2,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",3.0,
,,"Wanneroo","General practitioner (GP)","Number of Practitioners",190,
,,,,"FTE Total",174.8,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist","Number of Practitioners",9,
,,,,"FTE Total",6.2,
,,,"Specialist-in-training","Number of Practitioners",24,
,,,,"FTE Total",21.8,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Armadale","General practitioner (GP)","Number of Practitioners",79,
,,,,"FTE Total",79.0,
,,,"Hospital non-specialist","Number of Practitioners",47,
,,,,"FTE Total",48.6,
,,,"Specialist","Number of Practitioners",84,
,,,,"FTE Total",92.5,
,,,"Specialist-in-training","Number of Practitioners",32,
,,,,"FTE Total",36.3,
,,,"Other clinician","Number of Practitioners",10,
,,,,"FTE Total",10.0,
,,"Belmont - Victoria Park","General practitioner (GP)","Number of Practitioners",72,
,,,,"FTE Total",64.9,
,,,"Hospital non-specialist","Number of Practitioners",4,
,,,,"FTE Total",3.8,
,,,"Specialist","Number of Practitioners",12,
,,,,"FTE Total",13.3,
,,,"Specialist-in-training","Number of Practitioners",9,
,,,,"FTE Total",7.6,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",4.1,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Canning","General practitioner (GP)","Number of Practitioners",162,
,,,,"FTE Total",143.9,
,,,"Hospital non-specialist","Number of Practitioners",10,
,,,,"FTE Total",12.0,
,,,"Specialist","Number of Practitioners",29,
,,,,"FTE Total",32.0,
,,,"Specialist-in-training","Number of Practitioners",28,
,,,,"FTE Total",29.0,
,,,"Other clinician","Number of Practitioners",8,
,,,,"FTE Total",7.2,
,,,"Non-clinician","Number of Practitioners",5,
,,,,"FTE Total",6.6,
,,"Gosnells","General practitioner (GP)","Number of Practitioners",97,
,,,,"FTE Total",95.5,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",9,
,,,,"FTE Total",9.1,
,,,"Specialist-in-training","Number of Practitioners",11,
,,,,"FTE Total",9.6,
,,"Kalamunda","General practitioner (GP)","Number of Practitioners",55,
,,,,"FTE Total",52.2,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",9,
,,,,"FTE Total",8.4,
,,"Serpentine - Jarrahdale","General practitioner (GP)","Number of Practitioners",23,
,,,,"FTE Total",21.9,
,,,"Specialist-in-training","Number of Practitioners",3,
,,"South Perth","General practitioner (GP)","Number of Practitioners",42,
,,,,"FTE Total",34.4,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",26,
,,,,"FTE Total",25.8,
,,,"Specialist-in-training","Number of Practitioners",4,
,,,,"FTE Total",4.3,
,,,"Other clinician","Number of Practitioners",5,
,,,,"FTE Total",3.6,
,,"Cockburn","General practitioner (GP)","Number of Practitioners",112,
,,,,"FTE Total",102.2,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist","Number of Practitioners",22,
,,,,"FTE Total",21.4,
,,,"Specialist-in-training","Number of Practitioners",17,
,,,,"FTE Total",15.3,
,,,"Other clinician","Number of Practitioners",11,
,,,,"FTE Total",9.0,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Fremantle","General practitioner (GP)","Number of Practitioners",92,
,,,,"FTE Total",78.9,
,,,"Hospital non-specialist","Number of Practitioners",35,
,,,,"FTE Total",36.6,
,,,"Specialist","Number of Practitioners",68,
,,,,"FTE Total",65.5,
,,,"Specialist-in-training","Number of Practitioners",37,
,,,,"FTE Total",38.2,
,,,"Other clinician","Number of Practitioners",9,
,,,,"FTE Total",8.1,
,,,"Non-clinician","Number of Practitioners",7,
,,,,"FTE Total",4.3,
,,"Kwinana","General practitioner (GP)","Number of Practitioners",34,
,,,,"FTE Total",32.6,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist-in-training","Number of Practitioners",5,
,,,,"FTE Total",4.8,
,,"Melville","General practitioner (GP)","Number of Practitioners",159,
,,,,"FTE Total",135.9,
,,,"Hospital non-specialist","Number of Practitioners",234,
,,,,"FTE Total",279.0,
,,,"Specialist","Number of Practitioners",564,
,,,,"FTE Total",620.0,
,,,"Specialist-in-training","Number of Practitioners",240,
,,,,"FTE Total",269.8,
,,,"Other clinician","Number of Practitioners",31,
,,,,"FTE Total",25.6,
,,,"Non-clinician","Number of Practitioners",7,
,,,,"FTE Total",6.8,
,,"Rockingham","General practitioner (GP)","Number of Practitioners",132,
,,,,"FTE Total",134.2,
,,,"Hospital non-specialist","Number of Practitioners",47,
,,,,"FTE Total",57.7,
,,,"Specialist","Number of Practitioners",94,
,,,,"FTE Total",98.0,
,,,"Specialist-in-training","Number of Practitioners",47,
,,,,"FTE Total",48.5,
,,,"Other clinician","Number of Practitioners",11,
,,,,"FTE Total",11.7,
,,,"Non-clinician","Number of Practitioners",3,
,,"Albany","General practitioner (GP)","Number of Practitioners",93,
,,,,"FTE Total",89.8,
,,,"Hospital non-specialist","Number of Practitioners",14,
,,,,"FTE Total",17.6,
,,,"Specialist","Number of Practitioners",44,
,,,,"FTE Total",49.5,
,,,"Specialist-in-training","Number of Practitioners",26,
,,,,"FTE Total",29.7,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Non-clinician","FTE Total",3.0,
,,"Wheat Belt - North","General practitioner (GP)","Number of Practitioners",49,
,,,,"FTE Total",48.5,
,,,"Hospital non-specialist","Number of Practitioners",6,
,,,,"FTE Total",6.2,
,,,"Specialist","Number of Practitioners",11,
,,,,"FTE Total",10.0,
,,,"Specialist-in-training","Number of Practitioners",6,
,,,,"FTE Total",6.5,
,,"Wheat Belt - South","General practitioner (GP)","Number of Practitioners",17,
,,,,"FTE Total",18.4,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,"Specialist-in-training","FTE Total",3.0,
,,,"Other clinician","FTE Total",3.0,
,,"Kimberley","General practitioner (GP)","Number of Practitioners",88,
,,,,"FTE Total",97.8,
,,,"Hospital non-specialist","Number of Practitioners",21,
,,,,"FTE Total",24.2,
,,,"Specialist","Number of Practitioners",37,
,,,,"FTE Total",44.5,
,,,"Specialist-in-training","Number of Practitioners",18,
,,,,"FTE Total",20.0,
,,,"Other clinician","Number of Practitioners",14,
,,,,"FTE Total",18.2,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",3.8,
,,"East Pilbara","General practitioner (GP)","Number of Practitioners",27,
,,,,"FTE Total",31.6,
,,,"Hospital non-specialist","Number of Practitioners",10,
,,,,"FTE Total",11.1,
,,,"Specialist","Number of Practitioners",18,
,,,,"FTE Total",24.8,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.3,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",7.8,
,,,"Non-clinician","FTE Total",3.0,
,,"West Pilbara","General practitioner (GP)","Number of Practitioners",34,
,,,,"FTE Total",39.7,
,,,"Hospital non-specialist","Number of Practitioners",8,
,,,,"FTE Total",8.8,
,,,"Specialist","Number of Practitioners",8,
,,,,"FTE Total",9.7,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",7.6,
,,"Esperance","General practitioner (GP)","Number of Practitioners",22,
,,,,"FTE Total",26.1,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Specialist","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Gascoyne","General practitioner (GP)","Number of Practitioners",13,
,,,,"FTE Total",15.2,
,,,"Hospital non-specialist","Number of Practitioners",5,
,,,,"FTE Total",6.0,
,,,"Specialist","Number of Practitioners",7,
,,,,"FTE Total",9.3,
,,"Goldfields","General practitioner (GP)","Number of Practitioners",43,
,,,,"FTE Total",47.7,
,,,"Hospital non-specialist","Number of Practitioners",18,
,,,,"FTE Total",19.8,
,,,"Specialist","Number of Practitioners",19,
,,,,"FTE Total",24.8,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",4.0,
,,,"Other clinician","Number of Practitioners",4,
,,,,"FTE Total",5.8,
,,"Mid West","General practitioner (GP)","Number of Practitioners",66,
,,,,"FTE Total",72.7,
,,,"Hospital non-specialist","Number of Practitioners",23,
,,,,"FTE Total",26.2,
,,,"Specialist","Number of Practitioners",44,
,,,,"FTE Total",54.9,
,,,"Specialist-in-training","Number of Practitioners",18,
,,,,"FTE Total",19.1,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",9.5,
,"2019","Augusta - Margaret River - Busselton","General practitioner (GP)","Number of Practitioners",85,
,,,,"FTE Total",77.1,
,,,"Hospital non-specialist","Number of Practitioners",20,
,,,,"FTE Total",20.8,
,,,"Specialist","Number of Practitioners",20,
,,,,"FTE Total",20.1,
,,,"Specialist-in-training","Number of Practitioners",9,
,,,,"FTE Total",8.6,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Bunbury","General practitioner (GP)","Number of Practitioners",140,
,,,,"FTE Total",141.2,
,,,"Hospital non-specialist","Number of Practitioners",57,
,,,,"FTE Total",62.8,
,,,"Specialist","Number of Practitioners",113,
,,,,"FTE Total",123.8,
,,,"Specialist-in-training","Number of Practitioners",45,
,,,,"FTE Total",48.0,
,,,"Other clinician","Number of Practitioners",6,
,,,,"FTE Total",8.6,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Manjimup","General practitioner (GP)","Number of Practitioners",18,
,,,,"FTE Total",21.4,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",5.3,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Mandurah","General practitioner (GP)","Number of Practitioners",130,
,,,,"FTE Total",123.7,
,,,"Hospital non-specialist","Number of Practitioners",30,
,,,,"FTE Total",31.9,
,,,"Specialist","Number of Practitioners",53,
,,,,"FTE Total",58.6,
,,,"Specialist-in-training","Number of Practitioners",28,
,,,,"FTE Total",26.8,
,,,"Other clinician","Number of Practitioners",11,
,,,,"FTE Total",11.5,
,,,"Non-clinician","FTE Total",3.0,
,,"Cottesloe - Claremont","General practitioner (GP)","Number of Practitioners",155,
,,,,"FTE Total",123.8,
,,,"Hospital non-specialist","Number of Practitioners",250,
,,,,"FTE Total",290.5,
,,,"Specialist","Number of Practitioners",834,
,,,,"FTE Total",913.6,
,,,"Specialist-in-training","Number of Practitioners",359,
,,,,"FTE Total",406.7,
,,,"Other clinician","Number of Practitioners",49,
,,,,"FTE Total",45.1,
,,,"Non-clinician","Number of Practitioners",22,
,,,,"FTE Total",19.3,
,,"Perth City","General practitioner (GP)","Number of Practitioners",297,
,,,,"FTE Total",247.4,
,,,"Hospital non-specialist","Number of Practitioners",318,
,,,,"FTE Total",359.4,
,,,"Specialist","Number of Practitioners",1000,
,,,,"FTE Total",1071.6,
,,,"Specialist-in-training","Number of Practitioners",336,
,,,,"FTE Total",389.5,
,,,"Other clinician","Number of Practitioners",95,
,,,,"FTE Total",84.1,
,,,"Non-clinician","Number of Practitioners",38,
,,,,"FTE Total",36.7,
,,"Bayswater - Bassendean","General practitioner (GP)","Number of Practitioners",78,
,,,,"FTE Total",66.0,
,,,"Specialist","Number of Practitioners",6,
,,,,"FTE Total",6.5,
,,,"Specialist-in-training","Number of Practitioners",8,
,,,,"FTE Total",6.3,
,,"Mundaring","General practitioner (GP)","Number of Practitioners",28,
,,,,"FTE Total",28.9,
,,,"Hospital non-specialist","FTE Total",3.0,
,,,"Specialist-in-training","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Swan","General practitioner (GP)","Number of Practitioners",151,
,,,,"FTE Total",139.1,
,,,"Hospital non-specialist","Number of Practitioners",69,
,,,,"FTE Total",76.5,
,,,"Specialist","Number of Practitioners",133,
,,,,"FTE Total",131.9,
,,,"Specialist-in-training","Number of Practitioners",84,
,,,,"FTE Total",89.6,
,,,"Other clinician","Number of Practitioners",14,
,,,,"FTE Total",13.1,
,,"Joondalup","General practitioner (GP)","Number of Practitioners",222,
,,,,"FTE Total",185.3,
,,,"Hospital non-specialist","Number of Practitioners",133,
,,,,"FTE Total",145.1,
,,,"Specialist","Number of Practitioners",220,
,,,,"FTE Total",234.2,
,,,"Specialist-in-training","Number of Practitioners",106,
,,,,"FTE Total",113.2,
,,,"Other clinician","Number of Practitioners",16,
,,,,"FTE Total",16.9,
,,,"Non-clinician","Number of Practitioners",4,
,,,,"FTE Total",4.1,
,,"Stirling","General practitioner (GP)","Number of Practitioners",186,
,,,,"FTE Total",160.9,
,,,"Hospital non-specialist","Number of Practitioners",18,
,,,,"FTE Total",18.5,
,,,"Specialist","Number of Practitioners",88,
,,,,"FTE Total",78.1,
,,,"Specialist-in-training","Number of Practitioners",18,
,,,,"FTE Total",20.0,
,,,"Other clinician","Number of Practitioners",7,
,,,,"FTE Total",4.8,
,,,"Non-clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Wanneroo","General practitioner (GP)","Number of Practitioners",208,
,,,,"FTE Total",192.2,
,,,"Hospital non-specialist","Number of Practitioners",3,
,,,,"FTE Total",3.2,
,,,"Specialist","Number of Practitioners",10,
,,,,"FTE Total",8.2,
,,,"Specialist-in-training","Number of Practitioners",23,
,,,,"FTE Total",22.9,
,,,"Other clinician","Number of Practitioners",3,
,,,,"FTE Total",3.0,
,,"Armadale","General practitioner (GP)","Number of Practitioners",82,
,,,,"FTE Total",83.4,
,,,"Hospital non-specialist","Number of Practitioners",60,
,,,,"FTE Total",65.5,
,,,"Specialist","Number of Practitioners",91,
